,_id,animalSettlement,animalType,isPregmant,weight
406,642356d10dac55003013586a,1a40025792,VACA,False,100.0
407,642356d10dac550030135862,1a40025792,VACA,False,100.0
408,642356d10dac550030135860,1a40025792,VACA,False,100.0
409,642356d10dac55003013586c,1a40025792,VACA,False,100.0
410,642356d10dac550030135872,1a40025792,VACA,False,100.0
411,642356d10dac550030135874,1a40025792,VACA,False,100.0
412,642356d10dac550030135876,1a40025792,VACA,False,100.0
413,642356d10dac550030135870,1a40025792,VACA,False,100.0
414,642356d10dac55003013586e,1a40025792,VACA,False,100.0
415,642356d10dac55003013588a,1a40025792,VACA,False,100.0
416,642356d10dac550030135888,1a40025792,VACA,False,100.0
417,642356d10dac550030135882,1a40025792,VACA,False,100.0
418,642356d10dac550030135878,1a40025792,VACA,False,100.0
419,642356d10dac550030135886,1a40025792,VACA,False,100.0
420,642356d10dac55003013588c,1a40025792,VACA,False,100.0
421,642356d20dac55003013589f,1a40025792,VACA,False,100.0
422,642356d10dac550030135884,1a40025792,VACA,False,100.0
423,642356d20dac55003013589d,1a40025792,VACA,False,100.0
424,642356d20dac550030135890,1a40025792,VACA,False,100.0
425,642356d20dac5500301358a1,1a40025792,VACA,False,100.0
426,642356d10dac55003013588e,1a40025792,VACA,False,100.0
427,642356d20dac5500301358a7,1a40025792,VACA,False,100.0
428,642356d20dac55003013589b,1a40025792,VACA,False,100.0
429,642356d20dac5500301358b1,1a40025792,VACA,False,100.0
430,642356d20dac5500301358ab,1a40025792,VACA,False,100.0
431,642356d20dac5500301358a3,1a40025792,VACA,False,100.0
432,642356d20dac5500301358a5,1a40025792,VACA,False,100.0
433,642356d20dac5500301358a9,1a40025792,VACA,False,100.0
434,642356d20dac5500301358b5,1a40025792,VACA,False,100.0
435,642356d20dac5500301358ad,1a40025792,VACA,False,100.0
436,642356d20dac5500301358af,1a40025792,VACA,False,100.0
437,642356d20dac5500301358bb,1a40025792,VACA,False,100.0
438,642356d20dac5500301358b3,1a40025792,VACA,False,100.0
439,642356d20dac5500301358bf,1a40025792,VACA,False,100.0
440,642356d20dac5500301358b9,1a40025792,VACA,False,100.0
441,642356d20dac5500301358c5,1a40025792,VACA,False,100.0
442,642356d20dac5500301358b7,1a40025792,VACA,False,100.0
443,642356d20dac5500301358bd,1a40025792,VACA,False,100.0
444,642356d20dac5500301358c3,1a40025792,VACA,False,100.0
445,642356d20dac5500301358c1,1a40025792,VACA,False,100.0
446,642356d20dac5500301358c7,1a40025792,VACA,False,100.0
447,642356d20dac5500301358c9,1a40025792,VACA,False,100.0
448,642356d20dac5500301358cb,1a40025792,VACA,False,100.0
449,642356d20dac5500301358cd,1a40025792,VACA,False,100.0
450,642356d20dac5500301358cf,1a40025792,VACA,False,100.0
451,642356d20dac5500301358d1,1a40025792,VACA,False,100.0
452,642356d20dac5500301358d3,1a40025792,VACA,False,100.0
453,642356d20dac5500301358d5,1a40025792,VACA,False,100.0
454,642356d20dac5500301358d7,1a40025792,VACA,False,100.0
455,642356d20dac5500301358d9,1a40025792,VACA,False,100.0
456,642356d20dac5500301358db,1a40025792,VACA,False,100.0
457,642356d20dac5500301358dd,1a40025792,VACA,False,100.0
458,642356d20dac5500301358e3,1a40025792,VACA,False,100.0
459,642356d20dac5500301358df,1a40025792,VACA,False,100.0
460,642356d20dac5500301358e1,1a40025792,VACA,False,100.0
461,642356d20dac5500301358e5,1a40025792,VACA,False,100.0
462,642356d20dac5500301358e7,1a40025792,VACA,False,100.0
463,642356d20dac5500301358eb,1a40025792,VACA,False,100.0
464,642356d20dac5500301358e9,1a40025792,VACA,False,100.0
465,642356d20dac5500301358ed,1a40025792,VACA,False,100.0
466,642356d20dac5500301358ef,1a40025792,VACA,False,100.0
467,642356d20dac5500301358f1,1a40025792,VACA,False,100.0
468,642356d20dac5500301358f5,1a40025792,VACA,False,100.0
469,642356d20dac5500301358fb,1a40025792,VACA,False,100.0
470,642356d20dac5500301358f3,1a40025792,VACA,False,100.0
471,642356d20dac5500301358f9,1a40025792,VACA,False,100.0
